"ngram","year","frequency"
"j",2020,2.7159733993661e-05
"j",2021,2.21167065319605e-05
"j",2022,1.35296568259946e-05
"k",2000,3.9111669138947e-05
"k",2001,3.92490925150923e-05
"k",2002,3.94041981053306e-05
"k",2003,3.97708972741384e-05
"k",2004,3.97786882656094e-05
"k",2005,3.92301943585543e-05
"k",2006,3.94572052755393e-05
"k",2007,3.9726932819966e-05
"k",2008,4.15502805221227e-05
"k",2009,4.38506633924719e-05
"k",2010,4.64012965884259e-05
"k",2011,4.87729931981968e-05
"k",2012,5.17268022771792e-05
"k",2013,5.64650612692016e-05
"k",2014,6.17703335592523e-05
"k",2015,6.81992683634495e-05
"k",2016,7.28480918041896e-05
"k",2017,6.43015882815234e-05
"k",2018,5.65171378964026e-05
"k",2019,4.84169639613745e-05
"k",2020,4.46427099329109e-05
"k",2021,3.72777867596596e-05
"k",2022,2.22060425585369e-05
"l",2000,0.000123476198496064
"l",2001,0.000121295364806429
"l",2002,0.000118902384807977
"l",2003,0.000115913771358984
"l",2004,0.000111467642584882
"l",2005,0.000105596553891831
"l",2006,9.96530216070823e-05
"l",2007,9.28367402853577e-05
"l",2008,8.68699675525672e-05
"l",2009,8.1836870646969e-05
"l",2010,7.77509641401204e-05
"l",2011,7.1363721612475e-05
"l",2012,6.57196911301331e-05
"l",2013,6.22443809074217e-05
"l",2014,5.994861930958e-05
"l",2015,5.7887717308144e-05
"l",2016,5.46431770739478e-05
"l",2017,4.47316420572211e-05
"l",2018,3.76861498807557e-05
"l",2019,3.1021409605663e-05
"l",2020,2.71266065586436e-05
"l",2021,2.10744663490914e-05
"l",2022,1.22485062092892e-05
"m",2000,0.000133042900415603
"m",2001,0.000131177229923196
"m",2002,0.000130260397175637
"m",2003,0.000129061596193683
"m",2004,0.000126491422374134
"m",2005,0.000122295741415915
"m",2006,0.000119607779197395
"m",2007,0.000115612381445577
"m",2008,0.000114523620660683
"m",2009,0.0001147779985331
"m",2010,0.000115268993665398
"m",2011,0.000114564383693505
"m",2012,0.000114420498513417
"m",2013,0.000116087617893105
"m",2014,0.000118986834422685
"m",2015,0.000123228789431908
"m",2016,0.000125131419086496
"m",2017,0.000107230596768204
"m",2018,9.11434004332737e-05
"m",2019,7.60854610624457e-05
"m",2020,6.85701015754603e-05
"m",2021,5.73124387301505e-05
"m",2022,3.51938215317205e-05
"n",2000,0.000126518976685475
"n",2001,0.000126598756469321
"n",2002,0.000127560249287247
"n",2003,0.00012826679137236
"n",2004,0.000128200568724424
"n",2005,0.000130084621819801
"n",2006,0.000129818490157569
"n",2007,0.000128475444008862
"n",2008,0.000131018678075634
"n",2009,0.000133767524468047
"n",2010,0.000137867659629722
"n",2011,0.000141942351807042
"n",2012,0.000141848706074857
"n",2013,0.000146257612089227
"n",2014,0.000153408795345708
"n",2015,0.000166802080847057
"n",2016,0.000171962210775486
"n",2017,0.000148932640773377
"n",2018,0.000127618760286298
"n",2019,0.000108475686699551
"n",2020,0.000100737115038404
"n",2021,8.52408120408654e-05
"n",2022,4.69326369056944e-05
"o",2000,6.15519265920739e-05
"o",2001,6.22327519522514e-05
"o",2002,6.32789336426261e-05
"o",2003,6.30754392269799e-05
"o",2004,6.36001714156009e-05
"o",2005,6.36788255568328e-05
"o",2006,6.34125093971047e-05
"o",2007,6.20076675009581e-05
"o",2008,6.08484619338664e-05
"o",2009,5.96910711984882e-05
"o",2010,5.9777627029689e-05
"o",2011,5.8925507411394e-05
"o",2012,5.83358856342134e-05
"o",2013,5.74601690459531e-05
"o",2014,6.04158688344926e-05
"o",2015,6.39810797500624e-05
"o",2016,6.36181653784921e-05
"o",2017,5.46952562997051e-05
"o",2018,4.67466135367951e-05
"o",2019,3.85209314117674e-05
"o",2020,3.60340612436024e-05
"o",2021,2.79331594356336e-05
"o",2022,1.4466926586465e-05
"p",2000,0.000297782054985873
"p",2001,0.000295348791405559
"p",2002,0.000294416502583772
"p",2003,0.000293215911369771
"p",2004,0.000290501891868189
"p",2005,0.000285373501745718
"p",2006,0.00027864274618748
"p",2007,0.000271122488941598
"p",2008,0.000264469184912741
"p",2009,0.000260211527347565
"p",2010,0.000261916778981686
"p",2011,0.000256350288899349
"p",2012,0.000257061586515712
"p",2013,0.000262797211429903
"p",2014,0.000265549691643433
"p",2015,0.00026652351204705
"p",2016,0.000265379390579515
"p",2017,0.000222815229790285
"p",2018,0.000187174446182325
"p",2019,0.000150519385767568
"p",2020,0.000126707935123704
